name	fullname(JP)	fullname(EN)	ID	realname(JP)	dangerlevel	VF(JP)	sex	age	birthday(MM-DD)	family	height	hometown	remarks(JP)
Eleven	シァ・ズーシュェン	Xia Zixuan	19M-RFT39	シァ・ズーシュェン	E	食品摂取を通じた再生能力の増幅	F	17	11-11	father, mother	155	China	["https://playeternalreturn.com/posts/news/2361"]
つばめ	橘 つばめ	Tsubame Tachibana	23M-RFT73	橘 つばめ	D	身体強化、忍術	F	17	02-21	none	157	Japan(G)	[]
アイザック	アイザック・コーベル	Issac Caubert	22M-RFT62	アイザック・コーベル	C	身体強化および武器硬化	M	51	09-09	none	184	N/A	[]
アイソル	アイソル(マルセロ)	Isol(Marcelo)	15M-RFT16	マルセロ	C	特定の状況下における知的能力および身体能力の向上と火力の強化	M	16	03-14	unknown	167	Brazil	["実際の誕生日は不明"]
アディナ	アディナ・サヴィッチ	Adina Savić	22M-RFT55	アディナ・サヴィッチ	E	天体投影・予知	F	22	09-24	grandmother, father, mother	156	Spain	[]
アデラ	アデラ・グロ	Adela Gro	17M-RFT28	アデラ・グロ	D	VF放出および具現化	F	25	01-30	grandfather, father(missing), mother(missing)	167	Norway	[]
アドリアナ	アドリアナ・リベーラ	Adriana Rivera	17M-RFT29	アドリアナ・リベーラ	B	発火と延焼	F	22	12-07	father, mother	169	UK	[]
アビゲイル	アビゲイル・ロック	Abigail Locke	23M-RFT70	アビゲイル・ロック	E	VF亀裂の生成および通過	F	18	08-23	none	159	N/A	["https://playeternalreturn.com/posts/news/1337", "https://playeternalreturn.com/posts/news/1375"]
アヤ	鈴木 アヤ	Suzuki Aya	14M-RFT11	鈴木 アヤ	C	軌道歪曲および精密射撃	F	26	04-05	younger brother	161	Japan	[]
アルダ	アルダ・エヴレン	Arda Evren	16M-RFT24	アルダ・エヴレン	E	遺物感応	M	29	10-07	father, mother	179	Turkey	[]
アレックス	アレックス・パジノフ	Alex Pajitnov	14M-RFT13	アレックス・パジノフ	A	身体強化および神経攪乱	M	-1	12-26	father(unkown), mother(missing)	178	Russia	["誕生日は虚偽と推定"]
アロンソ	アロンソ・フェルナンデス	Alonso Fernández	23M-RFT71	アロンソ・フェルナンデス	E	磁力活用	M	59	07-04	wife	189	Spain(G)	["https://playeternalreturn.com/posts/news/1420", "https://playeternalreturn.com/posts/news/1471"]
イアン	イ・アン	Ly Anh	23M-RFT66	イ・アン	A	事物に固着したVFへの感応	F	22	06-18	none	160	N/A	[]
イシュトヴァーン	シモン・イシュトヴァーン	Simon István	25M-RFT83	シモン・イシュトヴァーン	E	自分に関わる未来の可能性を捉えて具現化する能力	M	29	11-05	father, mother	189	Hungary(G)	["https://playeternalreturn.com/posts/news/2594"]
イレム	イレム	Irem	22M-RFT64	イレム	D	細胞再配列による種族変換	F	-1	10-29	none	150	N/A	[]
ウィリアム	ウィリアム・ベンソン	William Benson	14M-RFT05	ウィリアム・ベンソン	E	身体強化および揚力調節	M	28	02-01	father, younger brother	185	USA	[]
エイデン	カール・ベケット	Carl Beckett	21M-RFT50	カール・ベケット	B	生体電気の増幅および放出	M	27	05-12	father, mother, younger brother(2), younger sister(2)	191	USA	["https://playeternalreturn.com/posts/news/2494"]
エキオン	エキオン	Echion	14M-RFT44	ディラン・エヴァンス	B	VF義手の制御	M	21	11-01	none	183	N/A	[]
エステル	エステル・マルティネク	Estelle Martinek	22M-RFT58	エステル・マルティネク	E	身体強化および放熱	F	27	12-24	father, mother, younger brother(2), younger sister	161	Germany	[]
エマ	エマ・ハーディ	Emma Hardy	18M-RFT38	エマ・ハーディ	E	VF運用および認知体系の攪乱	F	21	09-02	grandfather, father, mother	164	USA	["祖父は母方の特記あり"]
エレナ	エレナ・ヤルヴィネン	Elena Jarvinen	22M-RFT52	エレナ・ヤルヴィネン	D	温度低下および結氷現象の誘導	F	20	12-03	older brother, older sister	165	Finland	[]
エヴァ	エヴァ	Eva	02M-RF42	ウェンディ・ジョン	B	VF放出およびテレキネシス	F	17	04-10	none	164	USA	[]
カティア	カティア・ヘルツ	Katja Hertz	24M-RFT75	カティア・ヘルツ	D	百発百中の射撃能力	F	19	12-17	none	160	Germany(G)	["https://playeternalreturn.com/posts/news/1722", "https://playeternalreturn.com/posts/news/1758"]
カミロ	カミロ・フェルナンデス・カブレラ	Camilo Fernández Cabrera	16M-RFT25	カミロ・フェルナンデス・カブレラ	D	身体強化および高揚感を通じたVF増幅	M	21	07-06	father, mother, older sister(dead)	184	Spain	[]
カーラ	カーラ・リカイオス	Karla	22M-RFT57	カーラ・リカイオス	C	銛の操作	F	19	08-01	father, mother	168	N/A	[]
ガーネット	ガーネット	Garnet	24M-RFT79	ガーネット	C	超再生、生体代謝の恒常性維持	F	20	01-15	none	157	N/A	["https://playeternalreturn.com/posts/news/2128"]
キアラ	キアラ	Chiara	16M-RFT21	キアラ	B	VF放出および身体変異	F	21	02-08	none	167	France	[]
キャッシー	キャッシー・ハギンス	Cathy Huggins	14M-RFT14	キャッシー・ハギンス	B	細胞再生干渉	F	32	05-02	none	169	Canada	[]
クレイヴァー	クレイヴァー	Craver	26M-RFT92	M1873	A	触れた者の意識を乗っ取る能力	M	24	06-12	none	184	N/A	["https://playeternalreturn.com/posts/news/3639", “"https://playeternalreturn.com/posts/news/3644", "https://playeternalreturn.com/posts/news/3651"]
クロエ	クロエ・リム	Chloe Lim	20M-RFT46	クロエ・リム	B	糸状のVF放出	F	24	06-28	father, mother	165	Singapore	[]
ケネス	ケネス	Kenneth	24M-RFT74	ケネス	E	感情を炎へと変換可能	M	18	08-17	none	168	N/A	["https://playeternalreturn.com/posts/news/1640", "https://playeternalreturn.com/posts/news/1665"]
コラライン	コラライン・クインシー	Coraline Quincy	26M-RFT90	コラライン・クインシー	B	光の操作	F	19	09-28	father, mother, older brother, yonger sister	164	USA(G)	["https://event.playeternalreturn.com/ER/CHARACTER&SKIN?hl=ja-JP","https://playeternalreturn.com/posts/news/3433","https://playeternalreturn.com/posts/news/3437"]
ザヒル	ザヒル・シン	Zahir Singh	14M-RFT03	ザヒル・シン	B	念動力による重力の制御	M	18	03-29	none	175	India	[]
シウカイ	ズオ・シウカイ	Zuo XiuKai	14M-RFT09	ズオ・シウカイ	D	食品栄養成分の操作および熱エネルギー干渉	M	34	08-03	none	187	China	[]
シセラ	シセラ・カイル	Sissela Kyle	17M-RFT27	シセラ・カイル	B	極端な細胞再生、苦痛転移	F	16	01-19	father(missing), mother	153	Sweden	[]
シャーロット	シャーロット・ロイス	Charlotte Ruisch	24M-RFT76	シャーロット・ロイス	E	VF放出と傷の治療	F	18	09-17	father(missing), mother(missing)	165	Netherlands(G)	["https://playeternalreturn.com/posts/news/1804"]
シュリン	柳 雪琳	Liǔ Xuělín	25M-RFT85	リウ・シュリン	E	剣を自由自在に操る能力	F	22	07-01	father, mother	168	China(G)	["https://playeternalreturn.com/posts/news/2845"]
シルヴィア	シルヴィア・ピケ	Silvia Piquet	16M-RFT19	シルヴィア・ピケ	E	身体強化および加速力操作	F	23	07-29	grandfather, mother(missing)	166	Argentina	[]
ジェニー	ジェニー・シンクレア	Jenny Sinclair	14M-RFT07	ジェニー・シンクレア	E	身体強化、身体復元	F	23	11-30	father, mother	167	USA	[]
ジャッキー	ジャッキー・クィルト	Jackie Quilt	06M-RF01	アンジェラ・ウィンスレア	A	身体強化、アドレナリンコントロール	F	22	12-25	none	167	UK	[]
スア	クォン・スア	Sua Gweon	17M-RFT33	クォン・スア	E	物語の具現化	F	28	08-07	father, mother	159	Korea	[]
セリーヌ	セリーヌ・マリー・ノエル	Celine Marie Noel	21M-RFT48	セリーヌ・マリー・ノエル	D	設計の把握および再構成	F	24	10-03	father, mother	167	USA	[]
タジア	タジア・カラブレイジ	Tazia Calabresi	22M-RFT63	タジア・カラブレイジ	B	ガラス結晶の形成および操作	F	30	09-09	father, mother	165	Italy	[]
ダイリン	李 黛琳	Li Dailin	16M-RFT20	リ・ダイリン	D	身体強化およびVF置換	F	26	04-11	uncle(missing)	165	China	["https://playeternalreturn.com/posts/news/3248"]
ダニエル	ダニエル・レビン	Daniel Levin	19M-RFT40	ダニエル・レビン	B	切断と追跡	M	23	01-17	none	185	Canada	[]
ダルコ	ダルコ・ヨヴァノヴィッチ	Darko Jovanović	24M-RFT77	ダルコ・ヨヴァノヴィッチ	C	価値あるものを奪い去る能力	M	24	09-12	father	185	Servia(G)	["https://playeternalreturn.com/posts/news/1938"]
ティア	ピーラヤー・サハコスモル	Peeraya SahassaKomol	21M-RFT51	ピーラヤー・サハスコモル	D	色彩の現象具現	F	22	03-16	father, mother	156	Thailand	[]
テオドール	テオドール・ボネール	Theodore Bonnaire	23M-RFT65	テオドール・ボネール	E	弾道干渉および操縦	M	27	03-24	father, mother	181	N/A	[]
